epoch,acc,loss,val_acc,val_loss
0,0.8552333,0.46092302945454916,0.8722,0.42231605372428893
1,0.9503667,0.16266745448112488,0.909,0.3097059154987335
2,0.96533334,0.11231073584556579,0.9298,0.2479631697177887
3,0.9741333,0.08427399791876475,0.9339,0.24261663522720336
4,0.9795833,0.06677255202929179,0.939,0.21901509704589844
5,0.98218334,0.055507963466644286,0.9453,0.1921872093960643
6,0.9849,0.04665710443754991,0.9452,0.19599802811145783
7,0.9884167,0.03711942265257239,0.9551,0.18195543059706687
8,0.9884667,0.034035514285912116,0.9513,0.19728703191280364
9,0.9899833,0.030024184268713,0.952,0.19187969415187836
10,0.9907,0.02795664985254407,0.9556,0.18198589376211166
11,0.99265,0.02238744557760656,0.9582,0.1878240530014038
12,0.99308336,0.020572497964215775,0.9546,0.18943759140968322
13,0.9935167,0.019411022318030397,0.9573,0.1862460407614708
14,0.9942,0.01718059072867036,0.9545,0.2033748345201835
15,0.9942333,0.016646879374297957,0.9574,0.18998352041244507
16,0.99471664,0.01468836953068773,0.9583,0.18628024973869323
17,0.99476665,0.015314277299586683,0.9574,0.20582488770484925
18,0.9952,0.014940297322378804,0.9634,0.17497540330439806
19,0.9950167,0.014247828043748936,0.9625,0.1801704922169447
20,0.996,0.011902690077650671,0.9625,0.18617740003690122
21,0.99611664,0.011541990759596228,0.9606,0.20165044996738435
22,0.99668336,0.009955014917999506,0.9614,0.1894878251036629
23,0.9960333,0.011398669392537947,0.9639,0.185532537317276
24,0.99655,0.010643803559864561,0.9596,0.20949202793114818
25,0.99626666,0.0109954644629887,0.961,0.2021691353917122
26,0.99656665,0.010254415209133488,0.9613,0.18181089151501656
27,0.9969,0.008895732571852083,0.9604,0.21032887601852418
28,0.99653333,0.009836936890826715,0.9593,0.2225318358999677
29,0.9972,0.008724486631100687,0.9592,0.2134536058138241
30,0.9967833,0.009953211612588105,0.9613,0.20595177443027496
31,0.9971,0.008443096610038387,0.9603,0.21031494294632574
32,0.9967333,0.009293423654413588,0.9629,0.20271177874207497
33,0.9971333,0.008268711373749344,0.9605,0.21191367220282556
34,0.9973,0.007998806548535747,0.9615,0.21220585886324406
35,0.9978167,0.007092435281168825,0.9627,0.2037577020348981
36,0.99761665,0.007434345788380597,0.9602,0.21581863756352104
37,0.9978,0.006975687295071354,0.9631,0.21031682484705233
38,0.99701667,0.008304690500852302,0.9623,0.21044905066490174
39,0.99813336,0.005905988402717048,0.9613,0.2094494507782161
40,0.99833333,0.0049828908471007405,0.9642,0.2135179995690938
41,0.99733335,0.007664307088739588,0.9627,0.21157667046340647
42,0.99806666,0.005565665306139272,0.9609,0.23649440766742919
43,0.9971833,0.008579734407294502,0.9646,0.2099882302939892
44,0.99733335,0.007936147950067729,0.9645,0.20383874866962434
45,0.99738336,0.007291014964348869,0.9614,0.22090641493797303
46,0.9982333,0.005618710092647234,0.9643,0.2076104260103777
47,0.99803334,0.006038086030072009,0.9647,0.21249640736803413
48,0.99825,0.006233567549199021,0.9636,0.2113294841796451
49,0.9978667,0.007153593966199939,0.9634,0.21873941563367844
50,0.9978167,0.0063469730852695645,0.9617,0.22044072515964508
51,0.99761665,0.00730335638943446,0.9627,0.21562013128222898
52,0.9983,0.005505033813839933,0.9626,0.21724627744555472
53,0.9981,0.005768707950644118,0.9631,0.23875331789255155
54,0.99845,0.004827660059428066,0.9628,0.22703388627767562
55,0.9979333,0.006478851774031015,0.965,0.21401565696895122
56,0.99838334,0.004853617530801663,0.9619,0.24728704704195262
57,0.9979,0.0071161375500715315,0.9632,0.23450617434978485
58,0.99785,0.006236598256021656,0.9647,0.22022169246673584
59,0.99795,0.005792168122834604,0.9637,0.232142464697361
